source,target,strength
0x50e0b952513f9faf0a681c4618f83b3fae639c6a,0x7ed2b524c38264a294791a9b9a5eaf6dda05b5d0,0.999789
0x83aeeb391e4bedc65cd02fd7b2081516841c54f1,0x99db7037895cd45aea33701af5e9572cd69bde6f,0.11550012
0xe784b7f6ed5c5fca85781cfa80781cfba94e7471,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,37500
0xf27b52d167dabbe0af27c779273ebe8047a88d6f,0xf888d0017951693cc097e87485cbd0751cf277ff,2.91258937
0x136816e46d5a026164ad7a0cc529a68de0a67f7a,0x2a45386b811d7e700f0ef05312a78fad05fd9d7d,14.865
0x20636cb7f248572d8791b3b64bb85c35e1cffb67,0xcd4b36aba06572222f84cbc81efab4b718b03edb,250.00020976
0x768fe4f1da90449f3d95bcc5efa9e344bfc5614b,0x94514e41dbb5c71dadaabe7790d58034a80602ff,0.14024542
0x5ca86163504cd152fa87a1ee781b8f63469f7f99,0x80cd51b18c0259b897f7787e5ecf7c36e7ab999e,7.81802397
0xe35081b5d5164d2d8008d0c64fed31e53feaf633,0x518f9a2bf12e5e075ac2cfe3b4ed86922a54d018,1.5
0x6919b5b0094de0fb60f21e6c8cf982e129f13350,0x8b83b9c4683aa4ec897c569010f09c6d04608163,37500
0x3d27d554661a8b18d203d3ebca3f6758b4a90174,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,37500
0x59af6906606724a185d5223b2fb4825bc9110970,0xe35b0ef92452c353dbb93775e0df97cedf873c72,37500
0x6676cbbf05223de16f7ebf3f79a2cc9dfea13cf9,0x367989c660881e1ca693730f7126fe0ffc0963fb,37500
0x59292f9b07a353993e1f281f905d545c331e7348,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,37500
0x7cc40912dcbf587af835c0fcbbe48aeb2c37078e,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,37500
0x1f086f0c1a1e91d306d9ce3663643f989a719761,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,37500
0xa962a730c0988c12a6dd96f8cbf77825bf402ad5,0x5eccc478b0d5309f103436fd5d1891a2cd04a34f,12.97503971
0x0e89464fca467d0b6d32c814478bdb5098bec289,0x0e6a9eea06e572a8e816282dcd6cab278ba18d66,5.09913761
0x803158ffbb3454d9919fa53a1b56e39379bf3d62,0x8608621fdb0643ffb1d084ea397956959ccfceb2,5.31851218
0xb83bba18bfada20c02cef62d4e448fe0a39fc634,0xe2939dc829138fac209057ca93567fb4e8e5f50e,2.19906011
0xe17410e9864a32d29d47e369aadab9041d95563c,0xce5c35b555307202a20c24a823d9fd462f52b983,7.11829075
0x14ee0f1a617b0e98cdb3d2475277ba189880a5bc,0x50b902b6f72f48e35dc90bf4c1f11f3202ced947,12.7000254
0x4bcbdde30f91a907d69e56d4610e35472ca5b922,0x5759655a8903ed8dbfad241950ebc474d2e1989a,3.1
0x64fb34fcd0c2f450c9997f1a2686fc70d7a9efb8,0xe0e341b8db1fad70348277ecd2291d1bbcd0adc2,72.96942
0xbc0c0d80b9442d1e9eb289d493ad44ee19ca075c,0x237781e53a0bb7918eba91801e20a8ca79a5b6d0,25
0x92d4b09cd6f32918fa7614dae45227193cc25a4e,0xc44c067bf21703dcad1da442b54bce3166e9b502,1.778094
0x3d798761b43beeca9b8fc9023456771156c4a4d3,0x97bd193e9558f703490ca659b82dc1a68dab02fb,2.1963
0xeb2f1b19ec93e3d41d2a9a2e0c9a07785dc8f6d5,0xbe88447e2570f3da2bfa4bf65f1b18a0d16767e6,5.01742928
0x99ca3baaee93d47f73eb6bbfba0819acdd6133c0,0xe23983d1fcfe70510834159b42fe01aa3facf136,306.80354871
0x63cee5201cbb438f592e023bb9543841f1f09b68,0x4dc46a83d4c59d5b624c7fd0724e913c68d8c427,0.08642484
0xa71fe8e637387ce54acddcf78c22c05ec7009e00,0x2af64890cb902b8bae7fd759eb0582f564f7b113,486.421248609999
0xf6506c6a03deee7fcafb1763c3598b6bb5c3146a,0x0d94171c63615a636cfc0342efcde0867913383e,8.17815682
0x68336074e88de35d80a5ba413c499c284a42e58c,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,37500
0xd851436eccb957e9974befd5595dd7d1382d2724,0x367989c660881e1ca693730f7126fe0ffc0963fb,37500
0x5fd599597ef23ca81365dca05ce65a53fcc09a87,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,37500
0xfe8c0c984c2ad1c26c08512ed1a5852ffe357743,0xb59f61caa1f3655e844bd4fd274f872c062044c3,0.10959515
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xe784b7f6ed5c5fca85781cfa80781cfba94e7471,37500.00021
0x2154151282fd2c58336946be661bfaddf872d30f,0x478853f82b52b3acaf58b2c2b3a730a618d1964f,42
0x76d7c70f48eb0214723106eb3a889efc85e9e91d,0xdf4806d60e1097c717fffa9ffe2febbe8769694d,14.99979
0x6a7112be68da4a441ad5266f057354cf36fbcf37,0x82811a2d7df2fcd16a8a832cd090da4c249a31ab,49.34958285
0x2c09d4bc375a07cd210831aacb0d95ee1fc84706,0x654e8578c723012a8d3c475348967dcd27f1daf3,250
0xea78a82bdbb8b6328b7ff5036d72ccf5ba080cee,0xea3ec2a08fee18ff4798c2d4725ded433d94151d,397.848923
0x390ae18ce688ef4f8ad58332d90adab2c2cec754,0x2ed986620cf0cb7da16fe6b7326ae8c6a5d835e9,171.40521377
